,name,date,rbirth,rdeath,rnaturalinc
0,United States,20110701,12.799556577,8.0931835718,4.7063730049
4,West Region,20110701,13.565385832,6.7903125546,6.7750732778
6,Alaska,20110701,16.317116957,5.483141811,10.833975146
7,Arizona,20110701,13.369291407,7.4805422283,5.8887491785
9,California,20110701,13.601533587,6.3605862018,7.240947385
10,Colorado,20110701,12.966765754,6.2969239089,6.6698418452
16,Hawaii,20110701,13.962057266,7.3430024948,6.6190547707
17,Idaho,20110701,14.551190368,7.5323585202,7.0188318473
31,Montana,20110701,12.074367723,9.1729782451,2.9013894778
33,Nevada,20110701,13.238820454,7.4620484993,5.7767719549
36,New Mexico,20110701,13.411332492,7.8981867801,5.5131457114
42,Oregon,20110701,11.77581971,8.4300891611,3.3457305487
49,Utah,20110701,18.581266025,5.3698613668,13.211404658
52,Washington,20110701,12.776635056,7.3420771369,5.4345579193
55,Wyoming,20110701,13.200375336,7.8530746979,5.3473006381
57,United States,20120701,12.590509751,7.9999345814,4.5905751698
61,West Region,20120701,13.17406641,6.7705890013,6.4034774088
63,Alaska,20120701,15.316290908,5.4248639137,9.8914269939
64,Arizona,20120701,13.137778571,7.4847126732,5.6530658974
66,California,20120701,13.162313302,6.337980458,6.8243328441
67,Colorado,20120701,12.555659893,6.3451187274,6.2105411657
73,Hawaii,20120701,13.619390274,7.3853704923,6.234019782
74,Idaho,20120701,14.069426786,7.4816764038,6.5877503826
88,Montana,20120701,12.028390399,8.9570780856,3.0713123139
90,Nevada,20120701,12.721181162,7.4821422223,5.2390389402
93,New Mexico,20120701,12.975798265,7.9035280111,5.0722702536
99,Oregon,20120701,11.562163454,8.4784051343,3.0837583195
106,Utah,20120701,17.801039176,5.4593005807,12.341738595
109,Washington,20120701,12.637130625,7.2030216374,5.4341089875
112,Wyoming,20120701,13.004501558,7.6617430509,5.3427585073
114,United States,20130701,12.513246841,8.2817297553,4.2315170854
118,West Region,20130701,13.128264533,6.9310056267,6.1972589066
120,Alaska,20130701,15.468367869,5.5045583985,9.9638094706
121,Arizona,20130701,13.056518697,7.6756127016,5.3809059959
123,California,20130701,13.111972382,6.5005994587,6.6113729235
124,Colorado,20130701,12.374491979,6.421338366,5.9531536133
130,Hawaii,20130701,13.582362336,7.3776857827,6.2046765538
131,Idaho,20130701,14.157983864,7.668726006,6.4892578582
145,Montana,20130701,12.102003022,9.3578116263,2.7441913955
147,Nevada,20130701,12.710947857,7.6989604646,5.0119873927
150,New Mexico,20130701,12.787403142,8.0352532861,4.7521498561
156,Oregon,20130701,11.508579782,8.5451978394,2.9633819427
163,Utah,20130701,18.032990698,5.6560450633,12.376945635
166,Washington,20130701,12.587941614,7.4033389839,5.1846026306
169,Wyoming,20130701,12.967584492,7.96597455,5.0016099418
171,United States,20140701,12.496383326,8.1427384033,4.3536449223
175,West Region,20140701,12.997411017,6.8302772493,6.167133768
177,Alaska,20140701,15.533297904,5.4623779398,10.070919964
178,Arizona,20140701,12.890497522,7.5185713697,5.371926152
180,California,20140701,12.982788114,6.3508226931,6.6319654207
181,Colorado,20140701,12.374264724,6.3912920976,5.982972626
187,Hawaii,20140701,13.430726649,7.6095169976,5.821209651
188,Idaho,20140701,13.83084571,7.7308888271,6.0999568827
202,Montana,20140701,12.164457969,9.2068635842,2.9575943851
204,Nevada,20140701,12.594040544,7.597256721,4.9967838232
207,New Mexico,20140701,12.608800765,8.1968683171,4.4119324479
213,Oregon,20140701,11.527684501,8.5734807459,2.9542037548
220,Utah,20140701,17.422173105,5.5819511428,11.840221962
223,Washington,20140701,12.46725788,7.3156882551,5.1515696244
226,Wyoming,20140701,13.246864087,7.7739893342,5.4728747533
228,United States,20150701,12.496947837,8.4510037858,4.045944051
232,West Region,20150701,12.931461889,7.065943273,5.8655186158
234,Alaska,20150701,15.375418736,5.9031837159,9.47223502
235,Arizona,20150701,12.796966156,7.7943441227,5.0026220329
237,California,20150701,12.910530614,6.5483569461,6.3621736676
238,Colorado,20150701,12.286213406,6.7130684943,5.5731449114
244,Hawaii,20150701,12.84077008,7.8051463201,5.0356237595
245,Idaho,20150701,14.03339436,7.8533385372,6.1800558228
259,Montana,20150701,12.261102427,9.4350654666,2.8260369607
261,Nevada,20150701,12.746089544,7.8999860499,4.8461034939
264,New Mexico,20150701,12.469432446,8.4391457094,4.0302867362
270,Oregon,20150701,11.446996855,8.8702444756,2.5767523796
277,Utah,20150701,17.237866199,5.8353892416,11.402476957
280,Washington,20150701,12.486995643,7.5750201571,4.9119754863
283,Wyoming,20150701,13.351093701,8.2592557082,5.0918379926
285,United States,20160701,12.314477487,8.400602288,3.9138751986
289,West Region,20160701,12.627142257,7.162665688,5.4644765688
291,Alaska,20160701,15.208045686,6.0137096894,9.1943359969
292,Arizona,20160701,12.338763297,8.13782955,4.2009337474
294,California,20160701,12.559569256,6.6624949821,5.8970742739
295,Colorado,20160701,12.118104016,6.6823550993,5.4357489164
301,Hawaii,20160701,12.808765828,7.6178818793,5.1908839487
302,Idaho,20160701,13.584769363,7.9665474604,5.6182219024
316,Montana,20160701,12.00192726,9.5812650205,2.4206622399
318,Nevada,20160701,12.547320409,8.0601579877,4.4871624212
321,New Mexico,20160701,12.084897084,8.6779922414,3.4069048423
327,Oregon,20160701,11.249520095,8.7182361992,2.5312838956
334,Utah,20160701,16.80760157,5.9053376304,10.90226394
337,Washington,20160701,12.415042631,7.567627684,4.8474149472
340,Wyoming,20160701,12.960879719,8.189238076,4.771641643
342,United States,20170701,12.044513976,8.6064128999,3.4381010758
346,West Region,20170701,12.292047544,7.2491592445,5.0428882995
348,Alaska,20170701,14.58725482,6.0263739944,8.5608808255
349,Arizona,20170701,11.872795865,8.0561569902,3.8166388751
